frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
305	0.305	0.00006	1105.694	1005.539	2393.387	1118.656	--undefined--	--undefined--
306	0.306	0.00006	1651.130	620.390	2555.272	753.180	--undefined--	--undefined--
307	0.307	0.00005	847.902	1025.940	2139.849	720.941	--undefined--	--undefined--
308	0.308	0.00005	1714.966	749.161	2642.364	789.858	--undefined--	--undefined--
309	0.309	0.00004	615.129	1260.159	2254.452	764.686	3787.286	3258.561
310	0.310	0.00004	1553.899	1206.818	2535.360	752.551	--undefined--	--undefined--
311	0.311	0.00004	2414.192	756.775	2809.943	3491.671	--undefined--	--undefined--
312	0.312	0.00003	943.318	2220.745	2351.433	779.887	--undefined--	--undefined--
313	0.313	0.00003	1301.609	3163.281	2324.840	930.666	--undefined--	--undefined--
314	0.314	0.00006	648.378	604.831	2675.073	758.075	3596.750	702.833
315	0.315	0.00006	1853.516	1437.070	3004.093	786.342	--undefined--	--undefined--
316	0.316	0.00012	1761.104	1275.496	2732.117	853.492	--undefined--	--undefined--
317	0.317	0.00012	647.388	831.142	2722.264	923.121	3755.826	718.911
318	0.318	0.00045	699.895	1699.862	1261.713	1213.446	3550.137	1342.721
319	0.319	0.00148	853.979	546.192	1718.297	965.484	3310.176	617.563
320	0.320	0.00747	562.194	1307.838	1645.590	1574.971	--undefined--	--undefined--
321	0.321	0.00747	1393.495	1809.809	2975.770	1243.675	--undefined--	--undefined--
322	0.322	0.01075	1967.515	1032.751	2341.673	1286.315	--undefined--	--undefined--
323	0.323	0.01075	822.801	1310.691	2682.508	1207.799	4732.638	1413.927
324	0.324	0.00769	898.673	560.488	2589.838	527.364	4283.519	1265.230
325	0.325	0.00769	1800.637	1048.475	3335.302	1002.032	--undefined--	--undefined--
326	0.326	0.00752	1200.628	766.142	2821.991	1153.482	5102.302	2530.814
327	0.327	0.00752	1595.551	982.705	2922.652	820.252	--undefined--	--undefined--
328	0.328	0.00628	1239.923	1061.606	3056.009	1104.482	--undefined--	--undefined--
329	0.329	0.00628	1148.774	2468.235	2427.255	1278.715	--undefined--	--undefined--
330	0.330	0.00553	1485.979	926.244	2850.014	711.474	--undefined--	--undefined--
331	0.331	0.00553	1580.245	864.744	2727.576	619.685	--undefined--	--undefined--
