group,trial_id,test_language,word,freq,pthn,consecutive_longest,same_onset,close_substitutions,similarity_ort,similarity_phon,correct,n,proportion
ENG-SPA,56,Spanish,libro,5.24792517233257,3,0,Different,0,0.444444444444444,0,8,27,0.296296296296296
ENG-SPA,57,Spanish,loro,3.51514499476482,2,1,Different,0,0.4,0.222222222222222,0,27,0
ENG-SPA,58,Spanish,luna,4.69862938392155,6,2,Different,0,0.25,0.571428571428571,25,28,0.892857142857143
ENG-SPA,59,Spanish,mano,5.44661031996133,2,1,Different,0.25,0.5,0.25,1,28,0.0357142857142857
ENG-SPA,60,Spanish,manzana,4.37413770568135,0,0,Different,0,0.166666666666666,0,2,28,0.0714285714285714
ENG-SPA,61,Spanish,mariposa,3.74113583470064,0,1,Different,0.125,0.117647058823529,0.25,3,28,0.107142857142857
ENG-SPA,62,Spanish,martillo,4.09588734926206,0,1,Different,0,0.285714285714285,0.181818181818181,0,28,0
ENG-SPA,63,Spanish,mesa,5.02377700099544,1,1,Different,0,0.222222222222222,0.222222222222222,3,27,0.111111111111111
ENG-SPA,64,Spanish,moneda,3.98878630001858,6,1,Different,0.2,0.4,0.2,20,28,0.714285714285714
ENG-SPA,65,Spanish,mono,4.5251718357984,1,1,Same,0,0.6,0.222222222222222,1,28,0.0357142857142857
ENG-SPA,66,Spanish,moto,2.87221456339759,0,1,Same,0,0.615384615384615,0.307692307692307,2,28,0.0714285714285714
ENG-SPA,67,Spanish,muneca,4.39383307129955,5,0,Different,0,0,0,0,27,0
ENG-SPA,68,Spanish,naranja,4.34857158984236,0,1,Different,0,0.461538461538461,0.166666666666666,12,28,0.428571428571429
ENG-SPA,69,Spanish,nariz,4.84351370129742,6,1,Same,0,0.222222222222222,0.222222222222222,0,27,0
ENG-SPA,70,Spanish,ola,4.32745906604036,8,0,Different,0,0.285714285714285,0,24,28,0.857142857142857
ENG-SPA,71,Spanish,ombligo,,,2,Different,0,0.105263157894736,0.4,0,28,0
ENG-SPA,72,Spanish,osito,,,1,Different,0,0.133333333333333,0.166666666666666,0,28,0
ENG-SPA,73,Spanish,oveja,4.12812128300274,8,0,Different,0,0.2,0,0,27,0
ENG-SPA,74,Spanish,pajaro,4.65754344288701,7,0,Different,0.222222222222222,0.2,0,0,28,0
ENG-SPA,75,Spanish,pan,4.45229716005965,5,0,Different,0.285714285714285,0.25,0,7,28,0.25
ENG-SPA,76,Spanish,panal,2.89448775232634,8,1,Different,0,0.2,0.222222222222222,0,28,0
ENG-SPA,77,Spanish,pantalon,3.71238870986914,0,1,Different,0,0.125,0.133333333333333,21,28,0.75
ENG-SPA,78,Spanish,pastel,4.65377962146864,8,1,Different,0,0.4,0.2,1,27,0.037037037037037
ENG-SPA,79,Spanish,patata,4.05285162873962,0,1,Same,0,0.666666666666666,0.428571428571428,24,28,0.857142857142857
ENG-SPA,80,Spanish,pato,4.39383307129955,11,0,Different,0,0,0,1,28,0.0357142857142857
ENG-SPA,81,Spanish,pelota,5.02102713219033,5,1,Different,0.222222222222222,0.2,0.222222222222222,2,27,0.0740740740740741
ENG-SPA,82,Spanish,perro,5.28520410425711,1,0,Different,0,0.25,0,4,28,0.142857142857143
ENG-SPA,83,Spanish,pez,4.92163550140336,1,0,Different,0.333333333333333,0,0,0,28,0
ENG-SPA,84,Spanish,pie,4.81238921452155,5,0,Different,0,0,0,2,28,0.0714285714285714
ENG-SPA,85,Spanish,pierna,4.75212377024162,2,0,Different,0,0.222222222222222,0,0,28,0
ENG-SPA,86,Spanish,pingüino,,,,,,,,21,28,0.75
ENG-SPA,87,Spanish,platano,4.03041754721382,0,1,Different,0.153846153846153,0.307692307692307,0.153846153846153,2,27,0.0740740740740741
ENG-SPA,88,Spanish,plato,4.40903826515154,7,2,Same,0,0.8,0.6,11,27,0.407407407407407
ENG-SPA,89,Spanish,pluma,3.82134973640513,6,0,Different,0,0.166666666666666,0,2,28,0.0714285714285714
ENG-SPA,90,Spanish,pollo,4.79046461656851,0,0,Different,0,0,0,6,27,0.222222222222222
ENG-SPA,91,Spanish,puerta,5.46547029646465,5,0,Different,0,0.2,0,4,28,0.142857142857143
ENG-SPA,92,Spanish,sandwich,4.34087224898259,0,2,Same,0.153846153846153,0.875,0.615384615384615,26,28,0.928571428571428
ENG-SPA,93,Spanish,sol,4.84302523918774,13,1,Same,0,0.333333333333333,0.333333333333333,16,28,0.571428571428571
ENG-SPA,94,Spanish,tambor,3.92791417390334,4,1,Different,0.2,0.2,0.2,17,27,0.62962962962963
ENG-SPA,95,Spanish,tenedor,3.94564089002672,12,0,Different,0,0.363636363636363,0,0,28,0
ENG-SPA,96,Spanish,tigre,4.26786135666871,0,1,Same,0,0.8,0.4,14,27,0.518518518518519
ENG-SPA,97,Spanish,tijeras,3.82518585855952,1,1,Different,0,0.4,0.166666666666666,1,28,0.0357142857142857
ENG-SPA,98,Spanish,tobogan,4.25099299046588,2,1,Different,0,0,0.166666666666666,5,27,0.185185185185185
ENG-SPA,99,Spanish,tomate,3.77099920516394,0,1,Same,0,0.833333333333333,0.461538461538461,27,28,0.964285714285714
ENG-SPA,100,Spanish,toro,4.43948743302101,6,0,Different,0.571428571428571,0,0,8,27,0.296296296296296
ENG-SPA,101,Spanish,tren,4.97799232756165,0,3,Same,0,0.666666666666666,0.888888888888888,9,28,0.321428571428571
ENG-SPA,102,Spanish,ventana,4.93449845124357,0,1,Different,0.153846153846153,0.153846153846153,0.153846153846153,1,28,0.0357142857142857
ENG-SPA,103,Spanish,zanahoria,3.58246109452495,3,1,Different,0.153846153846153,0.266666666666666,0.153846153846153,1,28,0.0357142857142857
SPA-CAT,104,Catalan,abella,3.87366929270679,1,0,Different,0.2,0.727272727272727,0,7,29,0.241379310344828
SPA-CAT,105,Catalan,aigua,5.39781474007886,0,2,Same,0,0.888888888888888,0.8,27,30,0.9
SPA-CAT,106,Catalan,aixeta,3.33994806169435,3,0,Different,0,0.181818181818181,0,1,29,0.0344827586206897
SPA-CAT,107,Catalan,amanida,4.36181846193144,0,1,Different,0,0.533333333333333,0.133333333333333,1,29,0.0344827586206897
SPA-CAT,108,Catalan,ampolla,4.63424444204154,0,1,Different,0,0.571428571428571,0.333333333333333,0,29,0
SPA-CAT,109,Catalan,arbre,,,1,Same,0,0.4,0.444444444444444,22,26,0.846153846153846
SPA-CAT,110,Catalan,berenar,3.19382002601611,0,1,Different,0.142857142857142,0.666666666666666,0.428571428571428,0,29,0
SPA-CAT,111,Catalan,bibero,,,3,Same,0,0.923076923076923,0.769230769230769,16,29,0.551724137931035
SPA-CAT,112,Catalan,bici,3.71535977712448,1,2,Same,0.25,1,0.75,26,29,0.896551724137931
SPA-CAT,113,Catalan,boca,5.13981865861738,0,3,Same,0,1,0.75,29,30,0.966666666666667
SPA-CAT,114,Catalan,bol,3.16622283457208,10,1,Same,0.333333333333333,1,0.666666666666666,17,30,0.566666666666667
SPA-CAT,115,Catalan,bolet,,,1,Different,0,0.444444444444444,0.222222222222222,1,29,0.0344827586206897
SPA-CAT,116,Catalan,bolquer,,,1,Different,0.2,0.166666666666666,0.2,0,30,0
SPA-CAT,117,Catalan,boto,,,2,Same,0.222222222222222,0.888888888888888,0.666666666666666,25,30,0.833333333333333
