participant,group,n,n_valid,n_correct,prop_correct,test_language,age,l2,l2oral,l2written,sex,impairment,valid_participant
5eca8f766efc6002c151bb05,ENG-SPA,86,86,13,0.151162790697674,Catalan,,None,,,Male,FALSE,
5ece703852564823b1b07a59,ENG-SPA,86,86,15,0.174418604651163,Catalan,22,None,,,Female,FALSE,TRUE
5ece703852564823b1b07a59,ENG-SPA,86,86,15,0.174418604651163,Catalan,,None,,,Female,FALSE,
5ed0d7a61cb3e101dc72f93e,ENG-SPA,86,65,19,0.292307692307692,Catalan,21,None,1,1,Female,FALSE,FALSE
5ed0d7a61cb3e101dc72f93e,ENG-SPA,86,65,19,0.292307692307692,Catalan,,None,1,1,Female,FALSE,FALSE
5ed40c8f237b5d09810ae6b5,ENG-SPA,86,86,15,0.174418604651163,Catalan,23,None,,,Female,FALSE,TRUE
5ed40c8f237b5d09810ae6b5,ENG-SPA,86,86,15,0.174418604651163,Catalan,,None,,,Female,FALSE,
5ed4bba6bd73d9482bfc6170,ENG-SPA,86,81,7,0.0864197530864198,Catalan,25,None,,,Female,FALSE,TRUE
5ed4bba6bd73d9482bfc6170,ENG-SPA,86,81,7,0.0864197530864198,Catalan,,None,,,Female,FALSE,
5ed8bf9551f146017b7ac03e,ENG-SPA,103,103,16,0.155339805825243,Spanish,20,None,,,Male,FALSE,TRUE
5ed8bf9551f146017b7ac03e,ENG-SPA,103,103,16,0.155339805825243,Spanish,,None,,,Male,FALSE,
5ede1449d426ce02a290fe0a,SPA-CAT,85,85,42,0.494117647058824,Catalan,21,French,4,4,Female,FALSE,TRUE
5ede1449d426ce02a290fe0a,SPA-CAT,85,85,42,0.494117647058824,Catalan,,French,4,4,Female,FALSE,
5ede149fcff15e03097dded2,SPA-CAT,85,85,36,0.423529411764706,Catalan,23,None,3,2,Female,FALSE,TRUE
5ede149fcff15e03097dded2,SPA-CAT,85,85,36,0.423529411764706,Catalan,,None,3,2,Female,FALSE,
5ede1560a80d4f02f3e6e997,SPA-CAT,85,77,38,0.493506493506494,Catalan,20,Italian,3,3,Female,FALSE,TRUE
5ede1560a80d4f02f3e6e997,SPA-CAT,85,77,38,0.493506493506494,Catalan,,Italian,3,3,Female,FALSE,
5ede16d21b8bce022ee5dd32,SPA-CAT,85,80,44,0.55,Catalan,25,None,4,4,Female,FALSE,TRUE
5ede16d21b8bce022ee5dd32,SPA-CAT,85,80,44,0.55,Catalan,,None,4,4,Female,FALSE,
5ede17651b8bce028a0853b3,SPA-CAT,85,85,42,0.494117647058824,Catalan,25,None,2,4,Female,FALSE,TRUE
