group,trial_id,test_language,word,freq,pthn,onset,stress_overlap,vowel_ratio,consonant_ratio,correct,n,proportion
ENG-CAT,167,Catalan,pingui,3.45939248775923,0,Same,Overlap,0.26,0.62,27,33,0.818181818181818
ENG-CAT,168,Catalan,planta,4.44106640663926,4,Same,Overlap,0.12,0.73,25,33,0.757575757575758
ENG-CAT,169,Catalan,plat,4.40908736944784,7,Same,Overlap,0.15,0.67,2,32,0.0625
ENG-CAT,170,Catalan,ploma,3.82151352840477,6,Different,No overlap,0.22,0.18,0,33,0
ENG-CAT,171,Catalan,pollastre,4.79049627696711,0,Different,No overlap,0.15,0.31,2,30,0.0666666666666667
ENG-CAT,172,Catalan,poma,4.37419825792908,0,Different,No overlap,0,0.29,5,33,0.151515151515152
ENG-CAT,173,Catalan,porc,,,Same,Overlap,0.29,0.57,22,32,0.6875
ENG-CAT,174,Catalan,porta,5.4654720808735,5,Different,Overlap,0.29,0.21,2,32,0.0625
ENG-CAT,175,Catalan,raspall,4.15106325335375,2,Different,No overlap,0.13,0.39,0,33,0
ENG-CAT,176,Catalan,samarreta,,,Different,No overlap,0.1,0.15,0,33,0
ENG-CAT,177,Catalan,sol,4.84304581053457,13,Same,Overlap,0.28,0.53,14,33,0.424242424242424
ENG-CAT,178,Catalan,taronja,4.34849957028384,0,Different,No overlap,0.03,0.46,2,33,0.0606060606060606
ENG-CAT,179,Catalan,tigre,4.2678754193189,0,Same,Overlap,0.4,0.4,17,31,0.548387096774194
ENG-CAT,180,Catalan,tisores,3.82542611776782,1,Different,No overlap,0.33,0.47,1,30,0.0333333333333333
ENG-CAT,181,Catalan,tobogan,4.25090769970086,2,Different,No overlap,0.17,0.14,7,33,0.212121212121212
ENG-CAT,182,Catalan,tomaquet,3.77085201164214,0,Same,Overlap,0.14,0.29,25,33,0.757575757575758
ENG-CAT,183,Catalan,tren,4.97799780995874,0,Same,Overlap,0.19,0.67,10,33,0.303030303030303
ENG-CAT,184,Catalan,ull,5.04836410527989,18,Different,No overlap,0,0,0,32,0
ENG-CAT,185,Catalan,ulleres,4.52009032811284,0,Different,No overlap,0.06,0.3,0,31,0
ENG-CAT,186,Catalan,ungla,4.27067883614471,8,Different,No overlap,0,0.22,0,31,0
ENG-CAT,187,Catalan,vaixell,4.98127483270659,5,Same,Overlap,0.22,0.22,0,32,0
ENG-CAT,188,Catalan,xocolata,4.46819958607261,0,Different,No overlap,0.2,0.52,31,33,0.939393939393939
ENG-CAT,189,Catalan,zebra,3.39967372148104,0,Same,Overlap,0.37,0.57,30,33,0.909090909090909
ENG-SPA,1,Spanish,arbol,4.81291335664286,5,Different,No overlap,0,0.25,0,27,0
ENG-SPA,2,Spanish,avestruz,2.9731278535997,0,Different,No overlap,0.14,0.54,0,28,0
ENG-SPA,3,Spanish,barco,4.98127483270659,5,Same,Overlap,0.11,0.4,0,28,0
ENG-SPA,4,Spanish,biberon,4.70543604658525,0,Same,No overlap,0,0.29,0,27,0
ENG-SPA,5,Spanish,bici,4.41296427199666,9,Same,Overlap,0.25,0.4,1,28,0.0357142857142857
ENG-SPA,6,Spanish,boca,5.01874209576238,0,Different,No overlap,0.25,0.23,1,28,0.0357142857142857
ENG-SPA,7,Spanish,bocadillo,4.34084054981233,0,Different,No overlap,0.19,0.27,2,27,0.0740740740740741
ENG-SPA,8,Spanish,bol,4.33142729652074,12,Same,Overlap,0.19,0.57,4,28,0.142857142857143
ENG-SPA,9,Spanish,boli,4.3932241163613,7,Different,No overlap,0.1,0.44,0,27,0
ENG-SPA,10,Spanish,botella,4.70543604658525,0,Same,No overlap,0.13,0.4,7,27,0.259259259259259
ENG-SPA,11,Spanish,boton,4.45101845215546,0,Same,No overlap,0.15,0.67,10,28,0.357142857142857
ENG-SPA,12,Spanish,brazo,4.81564414913197,5,Different,No overlap,0,0.13,0,28,0
ENG-SPA,13,Spanish,buho,3.74896286125616,10,Different,No overlap,0.33,0,1,27,0.037037037037037
ENG-SPA,14,Spanish,burro,3.72835378202123,0,Different,No overlap,0.11,0.28,0,28,0
ENG-SPA,15,Spanish,caballo,4.96792220673052,2,Different,No overlap,0.07,0.33,2,26,0.0769230769230769
ENG-SPA,16,Spanish,caja,4.95303445725036,0,Different,No overlap,0,0.25,0,28,0
ENG-SPA,17,Spanish,calcetin,3.9532763366673,16,Different,No overlap,0,0.18,0,27,0
ENG-SPA,18,Spanish,camisa,4.6662370958958,6,Different,No overlap,0.15,0.31,2,28,0.0714285714285714
ENG-SPA,19,Spanish,camiseta,,,Different,No overlap,0.26,0.42,2,27,0.0740740740740741
ENG-SPA,20,Spanish,caracol,3.24551266781415,7,Different,No overlap,0.08,0.28,0,28,0
ENG-SPA,21,Spanish,cebra,3.39967372148104,0,Different,No overlap,0.27,0.57,7,28,0.25
ENG-SPA,22,Spanish,cepillo,4.15106325335375,2,Different,No overlap,0,0.13,0,28,0
ENG-SPA,23,Spanish,cerdo,4.59262082132198,3,Different,No overlap,0.21,0.32,0,28,0
ENG-SPA,24,Spanish,cereza,4.13321945673249,6,Different,No overlap,0.33,0.36,0,27,0
ENG-SPA,25,Spanish,cesta,4.11991541025799,0,Different,Overlap,0.06,0.48,0,28,0
ENG-SPA,26,Spanish,chaqueta,4.52387647563813,0,Different,No overlap,0.3,0.53,10,27,0.37037037037037
ENG-SPA,27,Spanish,chocolate,4.46819958607261,0,Same,No overlap,0.24,0.53,26,28,0.928571428571428
ENG-SPA,28,Spanish,cielo,4.65127801399814,0,Different,No overlap,0.15,0.36,1,28,0.0357142857142857
