"trial_id","group","word1","word2","phon_trace","frequency","pthn","lv","consonant_ratio","vowel_ratio","onset","overlap_stress"
174,"ENG-CAT","taronja","orange","QrInM",22.3137,0,0,0.455555555555555,0.0277777777777777,"Different",0
175,"ENG-CAT","tisores","scissors","sIz@z",6.6863,1,0.285714285714286,0.466666666666666,0.333333333333333,"Different",0
176,"ENG-CAT","tobogan","slide","sl^Id",17.8235,2,0,0.144444444444444,0.166666666666666,"Different",0
177,"ENG-CAT","tomàquet","tomato","t@mAt@U",5.902,0,0.428571428571429,0.285714285714285,0.142857142857142,"Same",1
178,"ENG-CAT","tren","train","trEIn",95.0588,0,0.4,0.666666666666666,0.185185185185185,"Same",1
179,"ENG-CAT","ull","eye","^I",NA,NA,0,0,0,"Different",0
180,"ENG-CAT","ulleres","glasses","glAsIz",33.1176,0,0,0.3,0.0555555555555555,"Different",0
181,"ENG-CAT","ungla","nail","nEIl",NA,NA,0,0.222222222222222,0,"Different",0
182,"ENG-CAT","vaixell","boat","b@Ut",95.7843,5,0.4,0.222222222222222,0.222222222222222,"Same",1
183,"ENG-CAT","xocolata","chocolate","tSQk@lIt",29.3922,0,0.25,0.524444444444444,0.2,"Different",0
184,"ENG-CAT","zebra","zebra","ziibr@",2.5098,0,0.4,0.573333333333333,0.366666666666666,"Same",1
185,"ENG-CAT","arbre","tree","trii",65,5,0,0.285714285714285,0.19047619047619,"Different",0
186,"ENG-CAT","jaqueta","jacket","dMakIt",33.4118,0,0.333333333333333,0.533333333333333,0.242424242424242,"Different",1
187,"ENG-CAT","onada","wave","wEIv",21.2549,8,0,0.207407407407407,0.111111111111111,"Different",0
188,"ENG-CAT","pingüí","penguin","pDNgwIn",2.8824,0,0.571428571428571,0.615384615384615,0.256410256410256,"Same",1
189,"ENG-CAT","tigre","tiger","t^Ig@",18.5294,0,0.4,0.4,0.4,"Same",1
104,"SPA-CAT","abella","abeja",NA,7.476,1,0.2,0.346666666666666,0.366666666666666,"Different",1
