participant,group,trial_id,test_language,country,word,input_text,typing_offset,consonant_ratio,vowel_ratio,onset,pthn,freq,stress_overlap
11399,ENG-CAT,183,Catalan,UK,tren,green,4.21600008,0.666666666666666,0.185185185185185,same_consonant,0,95.06,1
11399,ENG-CAT,184,Catalan,UK,ull,look,3.016000032,0,0,different,18,111.78,0
11399,ENG-CAT,185,Catalan,UK,ulleres,teacher,3.999000072,0.3,0.0555555555555555,different,0,33.12,0
11399,ENG-CAT,186,Catalan,UK,ungla,world,2.151000023,0.222222222222222,0,different,8,18.65,0
11399,ENG-CAT,187,Catalan,UK,vaixell,sink,6.300000191,0.222222222222222,0.222222222222222,same_consonant,5,95.78,1
11399,ENG-CAT,188,Catalan,UK,xocolata,chocolate,2.065999985,0.524444444444444,0.2,different,0,29.39,0
11399,ENG-CAT,189,Catalan,UK,zebra,zebra,2.665999889,0.573333333333333,0.366666666666666,same_consonant,0,2.51,1
55334jfdklgneroijnrpo3994493,SPA-CAT,104,Catalan,Spain,abella,avellana,11.31699991,0.346666666666666,0.366666666666666,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,105,Catalan,Spain,aigua,agua,4.067000151,0.573333333333333,0.4,same_vowel,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,106,Catalan,Spain,aixeta,galleta,2.278000116,0.293333333333333,0.266666666666666,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,107,Catalan,Spain,amanida,avenida,2.064999819,0.133333333333333,0.111111111111111,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,108,Catalan,Spain,ampolla,ampolla,2.095999956,0.166666666666666,0.25,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,109,Catalan,Spain,arbre,arbol,4.664999962,0.222222222222222,0.222222222222222,same_vowel,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,110,Catalan,Spain,berenar,brazo,5.009000063,0.419047619047619,0.261904761904761,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,111,Catalan,Spain,bibero,biberon,2.764999866,0.461538461538461,0.435897435897435,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,112,Catalan,Spain,bici,bicicleta,6.116000175,0.483333333333333,0.5,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,113,Catalan,Spain,boca,boca,1.249000072,0.5,0.375,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,114,Catalan,Spain,bol,gol,3.598999977,0.666666666666666,0.277777777777777,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,115,Catalan,Spain,bolet,vuela,3.762999773,0.355555555555555,0.074074074074074,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,116,Catalan,Spain,bolquer,volcan,3.400000095,0.386666666666666,0,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,117,Catalan,Spain,boto,boton,4.930000067,0.444444444444444,0.407407407407407,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,118,Catalan,Spain,bou,abuelo,3.383000135,0.209523809523809,0.285714285714285,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,119,Catalan,Spain,caixa,calle,2.697999954,0.466666666666666,0.375,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,120,Catalan,Spain,cama,cama,1.065999985,0.12,0.2,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,121,Catalan,Spain,camisa,camisa,1.256999969,0.4,0.333333333333333,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,122,Catalan,Spain,casa,casa,0.915999889,0.483333333333333,0.375,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,123,Catalan,Spain,cavall,caballo,3.717000008,0.545454545454545,0.272727272727272,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,124,Catalan,Spain,cirera,sirena,1.536000013,0.444444444444444,0.388888888888888,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,125,Catalan,Spain,colom,culo,6.015000105,0.472727272727272,0.181818181818181,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,126,Catalan,Spain,corona,corona,1.98300004,0.5,0.388888888888888,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,127,Catalan,Spain,cotxe,coche,1.779999971,0.5,0.416666666666666,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,128,Catalan,Spain,cuc,cocinar,3.279999971,0.355555555555555,0.222222222222222,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,129,Catalan,Spain,dit,dice,5.434000015,0.495238095238095,0.238095238095238,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,130,Catalan,Spain,entrepa,atrapar,3.832999945,0.106666666666666,0.133333333333333,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,131,Catalan,Spain,esponja,esponja,5.386999846,0.514285714285714,0.309523809523809,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,132,Catalan,Spain,estrella,estrella,1.805999994,0.571428571428571,0.380952380952381,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,133,Catalan,Spain,estruc,avestruz,10.62400007,0.561904761904761,0.214285714285714,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,134,Catalan,Spain,flor,flor,1.369000196,0.571428571428571,0.238095238095238,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,135,Catalan,Spain,formiga,hormiga,2.480999947,0.441025641025641,0.23076923076923,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,136,Catalan,Spain,forquilla,horquilla,13.41599989,0.247619047619047,0.0476190476190476,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,137,Catalan,Spain,fulla,brilla,20.01800013,0,0,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,138,Catalan,Spain,galeta,galleta,1.830000162,0.466666666666666,0.305555555555555,same_consonant,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,139,Catalan,Spain,galleda,helada,9.03500009,0.266666666666666,0.166666666666666,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,140,Catalan,Spain,gat,gato,1.414999962,0.571428571428571,0.285714285714285,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,141,Catalan,Spain,gerd,ayer,1.998000145,0.48,0.166666666666666,different,,,0
