participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
5e6571b32013562f77434b40,81,pelota,/pe'lo.ta/,English,Spanish,0.0277777777777778,0.865999937,-0.243067502754014,0.395118809613129,-0.554082656544031
5e6571b32013562f77434b40,82,perro,/'pe.ro/,English,Spanish,0.04,0.482000113,-1.53952554383813,1.47881765488647,0.0671074444631859
5e6571b32013562f77434b40,83,pez,/ˈpeθ/,English,Spanish,0.222222222222222,2.514999866,1.837994925999e-05,-0.816074017457075,-0.733796533559192
5e6571b32013562f77434b40,84,pie,/'pje/,English,Spanish,0.0625,3.430999994,-1.29643966113486,0.713853764105288,-0.141558254575791
5e6571b32013562f77434b40,85,pierna,/'pjer.na/,English,Spanish,0.0833333333333333,1.148999929,-0.32409613032177,0.522612791409996,-0.448082314457772
5e6571b32013562f77434b40,87,platano,/'pla.ta.no/,English,Spanish,0.0612244897959184,0.415999889,-0.532455458353146,-0.0511101266758919,-1.68136698181507
5e6571b32013562f77434b40,88,plato,/'pla.to/,English,Spanish,0.0816326530612245,0.282000065,1.49904798995277,-0.510088461144602,-0.719876090358639
5e6571b32013562f77434b40,89,pluma,/'plu.ma/,English,Spanish,0.0408163265306122,0.532000065,-1.39367401421617,1.172832098574,-1.1282163889416
5e6571b32013562f77434b40,90,pollo,/ˈpo.ʎo/,English,Spanish,0.04,1.148999929,-1.53952554383813,1.47881765488647,-0.485771057731745
5e6571b32013562f77434b40,91,puerta,/'pwer.ta/,English,Spanish,0,2.149000168,-1.33695397491874,0.777600755003721,0.367424602910129
5e6571b32013562f77434b40,92,sandwich,/'sand.wi͡ʃ/,English,Spanish,0.03125,0.615999937,1.44562252122678,-1.25319624076061,-0.754714740511099
5e6571b32013562f77434b40,93,sol,/'sol/,English,Spanish,0.111111111111111,0.799000025,1.33699073481726,-1.58103790823826,-0.211572051295158
5e6571b32013562f77434b40,94,tambor,/tam.'bor/,English,Spanish,0.0740740740740741,0.848999977,-0.445639071673405,0.267624827816267,-1.50296070232913
5e6571b32013562f77434b40,95,tenedor,/te.ne.'ðor/,English,Spanish,0.0612244897959184,0.348999977,-0.497728903681252,0.659213486192347,-1.39363670208947
5e6571b32013562f77434b40,97,tijeras,/ti'xe.ɾas/,English,Spanish,0.0246913580246914,1.215999842,-0.931810837079953,-0.324311516240602,-1.33137632458985
5e6571b32013562f77434b40,98,tobogan,/to.βoˈɣan/,English,Spanish,0.102040816326531,0.73300004,-0.827631173064263,0.3313718187147,-2.05985899577706
5e6571b32013562f77434b40,99,tomate,/to'ma.te/,English,Spanish,0.138888888888889,0.349000216,1.01070581487923,-0.911694503804723,-1.17276054885517
5e6571b32013562f77434b40,100,toro,/ˈto.ɾo/,English,Spanish,0,0.498000145,-0.749496425052498,1.47881765488647,-1.09664137813186
5e6571b32013562f77434b40,101,tren,/ˈtɾen/,English,Spanish,0.12,1.198999882,1.40181363687146,-1.65753429731638,-0.307066771274598
5e6571b32013562f77434b40,102,ventana,/beŋ.'ta.na/,English,Spanish,0.0204081632653061,2.482000113,-0.527112911480549,1.2602565432347,-0.293427830885458
5e6571b32013562f77434b40,103,zanahoria,/θa.naˈo.ɾja/,English,Spanish,0.0123456790123457,1.148999929,-0.992582307755769,0.952904979974412,-1.65829031646988
5e71e92d7c127310819224be,2,avestruz,/a'βes.tɾuθ/,English,Spanish,0.03125,2.582000017,-0.102714344288432,-0.290161342545012,-2.24633897041848
5e71e92d7c127310819224be,3,barco,/ˈbaɾ.ko/,English,Spanish,0.102040816326531,0.482000113,0.170178497841548,0.3313718187147,-0.227938220505146
5e71e92d7c127310819224be,4,biberon,/biβeˈɾon/,English,Spanish,0.0408163265306122,3.932999849,-0.61611488551726,0.0581704291499894,-1.91756162951679
5e71e92d7c127310819224be,5,bici,/ˈbi.θi/,English,Spanish,0.08,2.280999899,0.739404606505048,-0.0511101266758919,-1.45592524506743
5e71e92d7c127310819224be,6,boca,/'bo.ka/,English,Spanish,0.0625,1.898999929,-0.445639071673405,0.905094736800587,-0.0146958743908361
5e71e92d7c127310819224be,7,bocadillo,/bo.kaˈdi.ʎo/,English,Spanish,0,1.764999866,-0.62795348370086,0.37918206188852,-1.50071003745441
5e71e92d7c127310819224be,8,bol,/'bol/,English,Spanish,0.125,1.796000004,1.30371111992336,-1.48541742189061,-2.00714598596967
5e71e92d7c127310819224be,9,boli,/'bo.li/,English,Spanish,0.125,1.84800005,-0.506410542349225,1.47881765488647,-2.6945136847573
5e71e92d7c127310819224be,10,botella,/boˈte.ʎa/,English,Spanish,0.0408163265306122,1.615999937,0.62799024359938,-0.497339062964917,-0.526747573502903
5e71e92d7c127310819224be,11,boton,/boˈton/,English,Spanish,0.0833333333333333,0.681999922,1.74213387265604,-1.7340306863945,-0.817489573643542
